Id,SalePrice
1461,112270.4766
1462,249241.0703
1463,190833.4375
1464,193609.3906
1465,197572.5782
1466,173046.4141
1467,182064.9297
1468,166582.1172
1469,179540.1329
1470,128608.4805
1471,184655.75
1472,102360.4336
1473,99678.0078
1474,152801.9297
1475,118403.9336
1476,327443.0938
1477,262778.586
1478,285270.6407
1479,283286.1563
1480,413253.6719
1481,311221.5469
1482,214854.6641
1483,172300.461
1484,165470.4688
1485,190959.6719
1486,199608.2813
1487,310836.8594
1488,236528.9766
1489,202344.1016
1490,268258.75
1491,196369.0625
1492,87834.32813
1493,181675.5703
1494,296877.3751
1495,290721.9063
1496,234497.3594
1497,173007.5547
1498,172182.6172
1499,169144.1563
1500,170542.0704
1501,189608.1797
1502,154201.3438
1503,275096.3594
1504,231207.6407
1505,222278.2344
1506,193500.8594
1507,248905.836
1508,203809.7891
1509,149822.961
1510,151203.2657
1511,158941.25
1512,174491.9453
1513,139925.9922
1514,156268.8985
1515,196211.2969
1516,153859.2813
1517,175826.0469
1518,131581.9102
1519,222127.5625
1520,135287.8516
1521,137705.1328
1522,182254.5235
1523,111819.3086
1524,121553.9415
1525,122695.1602
1526,104162.8321
1527,110127.7696
1528,135318.3672
1529,154143.7813
1530,184604.9453
1531,127215.9063
1532,90966.25391
1533,169835.4844
1534,117022.1368
1535,145701.211
1536,100997.3984
1537,59793.69531
1538,151522.9063
1539,197235.4375
1540,114259.6641
1541,134234.8945
1542,166036.0078
1543,188186.6953
1544,84043.52735
1545,111483.6251
1546,140420.6407
1547,151705.6406
1548,131964.2813
1549,117239.3008
1550,136191.1328
1551,104852.1094
1552,146739.7735
1553,155056.9766
1554,121384.8321
1555,178245.1797
1556,79261.87891
1557,104002.7227
1558,99668.91799
1559,64051.91016
1560,118761.8829
1561,125831.0196
1562,131901.25
1563,128478.6758
1564,175261.6797
1565,155555.1797
1566,224907.5469
1567,76156.94532
1568,245007.8594
1569,146505.4844
1570,129009.4336
1571,116797.8399
1572,147627.2031
1573,244343.6719
1574,133274.7969
1575,254886.7657
1576,240702.8829
1577,182960.4766
1578,128779.8282
1579,151588.3203
1580,196362.3672
1581,164757.0547
1582,122722.8086
1583,309218.3125
1584,221391.8203
1585,141965.4453
1586,54349.89844
1587,91091.07032
1588,166158.4063
1589,87819.16797
1590,123271.0313
1591,94304.42188
1592,114310.6915
1593,121517.6172
1594,154967.961
1595,121446.1055
1596,214570.0547
1597,185968.836
1598,216515.7969
1599,160318.7813
1600,159914.5625
1601,67794.83594
1602,117745.0235
1603,52365.74219
1604,256768.2344
1605,237223.6719
1606,157188.4141
1607,153210.6094
1608,224150.7422
1609,179989.5625
1610,168895.3672
1611,128419.8516
1612,172149.211
1613,164352.9141
1614,129365.7735
1615,87696.3711
1616,66156.03516
1617,80093.53907
1618,123960.5078
1619,137354.4844
1620,163019.7891
1621,143570.3438
1622,140523.3125
1623,255212.1016
1624,218934.375
1625,120073.2305
1626,174292.1563
1627,195439.7657
1628,275208.7969
1629,181101.0157
