Id,SalePrice
1461,114898.056
1462,150137.7411
1463,170916.4124
1464,201396.4691
1465,219354.538
1466,154541.214
1467,162954.9103
1468,159698.1049
1469,170376.9073
1470,105934.639
1471,174217.6514
1472,109885.2768
1473,116275.589
1474,142145.3552
1475,91760.31494
1476,368464.9353
1477,254684.0057
1478,309161.2854
1479,302267.4561
1480,458661.499
1481,307250.7935
1482,215924.6216
1483,181303.4515
1484,165507.5989
1485,203308.0292
1486,197051.4984
1487,325122.7722
1488,212719.6045
1489,193683.6395
1490,288053.7109
1491,202719.5129
1492,98517.3111
1493,193612.915
1494,269619.0796
1495,287099.4263
1496,251802.1698
1497,146424.2859
1498,176516.9525
1499,164360.8093
1500,156916.4581
1501,198886.6425
1502,158960.4645
1503,313145.874
1504,251563.1256
1505,233116.0583
1506,191889.328
1507,250432.8613
1508,199421.3409
1509,161481.5674
1510,160301.0254
1511,144913.6505
1512,162027.5116
1513,117058.7158
1514,149090.5762
1515,183359.1766
1516,171213.1195
1517,179051.7273
1518,130616.6992
1519,230384.9487
1520,140425.8118
1521,141160.1105
1522,173442.6575
1523,104611.3281
1524,115027.0157
1525,127601.3718
1526,104206.1691
1527,90709.25903
1528,156583.2672
1529,159631.3629
1530,196666.687
1531,116370.4681
1532,92450.18768
1533,170837.9974
1534,94247.51282
1535,142503.3569
1536,150269.0125
1537,36511.03592
1538,196398.8953
1539,189965.8051
1540,100190.3381
1541,140553.9246
1542,153609.314
1543,183680.8014
1544,77420.93658
1545,116721.5805
1546,140949.9969
1547,174179.1382
1548,149099.6857
1549,130874.6338
1550,142348.0072
1551,93491.93573
1552,162563.2324
1553,147815.1398
1554,120279.5944
1555,163210.5408
1556,78378.07465
1557,122594.9707
1558,117436.142
1559,52686.29837
1560,102440.8722
1561,127053.1921
1562,133340.1947
1563,119060.0281
1564,176897.5525
1565,158763.1683
1566,208650.3296
1567,62310.7872
1568,232503.1281
1569,148266.6779
1570,121043.3273
1571,105258.6746
1572,143266.4642
1573,239277.6642
1574,123751.1139
1575,282115.448
1576,227607.0709
1577,186476.6846
1578,144528.0762
1579,122518.4097
1580,215784.0271
1581,142418.1366
1582,138098.6938
1583,308236.7859
1584,220577.6978
1585,128953.4912
1586,97716.45355
1587,101240.4404
1588,149937.851
1589,101088.5162
1590,130117.7368
1591,83833.12225
1592,148802.063
1593,148036.7584
1594,113448.0591
1595,97803.9093
1596,237569.8242
1597,206296.7834
1598,205157.8979
1599,181062.088
1600,175626.3885
1601,46866.28342
1602,129389.7858
1603,54046.08536
1604,282566.04
1605,232597.8851
1606,162798.6908
1607,204563.4918
1608,194027.0233
1609,198275.6195
1610,191610.5652
1611,152768.4937
1612,183407.6233
1613,176341.1102
1614,155745.6665
1615,84439.14032
1616,62789.36005
1617,86211.54022
1618,143178.8635
1619,138759.3689
1620,187772.1252
1621,120788.5132
1622,165254.2725
1623,276665.2832
1624,197810.2417
1625,109170.5627
1626,198189.1327
1627,194351.4099
1628,273753.3264
1629,189845.0317
1630,416025.8484
1631,220068.6646
1632,230793.9758
1633,187731.8573
1634,195087.8906
1635,172960.7849
