Id,SalePrice
1461,126624 
1462,161562 
1463,200383 
1464,199760 
1465,191076 
1466,166097 
1467,173703 
1468,164781 
1469,192600 
1470,135902 
1471,191696 
1472,98777 
1473,94415 
1474,146485 
1475,97099 
1476,371490 
1477,270952 
1478,316517 
1479,307963 
1480,456103 
1481,331022 
1482,203247 
1483,170528 
1484,164550 
1485,195356 
1486,194609 
1487,349611 
1488,241437 
1489,219107 
1490,251773 
1491,192894 
1492,77265 
1493,199950 
1494,299883 
1495,303611 
1496,249501 
1497,178019 
1498,186613 
1499,186970 
1500,167794 
1501,196054 
1502,179917 
1503,283351 
1504,231959 
1505,226315 
1506,211458 
1507,259547 
1508,189102 
1509,154903 
1510,141543 
1511,142747 
1512,177207 
1513,116383 
1514,175868 
1515,191699 
1516,162603 
1517,160364 
1518,132036 
1519,212583 
1520,132759 
1521,128284 
1522,184429 
1523,104169 
1524,131530 
1525,107402 
1526,92525 
1527,103674 
1528,120455 
1529,145654 
1530,179934 
1531,143801 
1532,93911 
1533,167328 
1534,119322 
1535,152858 
1536,115377 
1537,71952 
1538,151923 
1539,183421 
1540,112640 
1541,152549 
1542,126759 
1543,169660 
1544,85655 
1545,117443 
1546,166799 
1547,160622 
1548,128762 
1549,125974 
1550,168917 
1551,117696 
1552,165656 
1553,140125 
1554,109224 
1555,182353 
1556,98564 
1557,101513 
1558,109591 
1559,98899 
1560,150379 
1561,142615 
1562,146981 
1563,134151 
1564,157837 
1565,170874 
1566,240582 
1567,88603 
1568,248087 
1569,195650 
1570,149701 
1571,116604 
1572,141147 
1573,258284 
1574,134045 
1575,270777 
1576,256832 
1577,195203 
1578,150294 
1579,142625 
1580,194788 
1581,158195 
1582,128709 
1583,305921 
1584,238589 
1585,133571 
1586,64375 
1587,98722 
1588,148948 
1589,90589 
1590,119579 
1591,104691 
1592,139915 
1593,137631 
1594,130114 
1595,107568 
1596,225723 
1597,183023 
1598,205931 
1599,181824 
1600,177121 
1601,76739 
1602,126811 
1603,98042 
1604,268268 
1605,257114 
1606,153156 
1607,169626 
1608,233924 
1609,196993 
1610,146887 
1611,148399 
1612,190160 
1613,159601 
1614,143525 
1615,105576 
1616,77242 
1617,96201 
1618,124739 
1619,158471 
1620,168206 
1621,139085 
1622,161001 
1623,298042 
1624,242124 
1625,109679 
1626,181845 
1627,195156 
1628,297960 
1629,178605 
1630,281787 
1631,216934 
1632,229704 
1633,182764 
1634,196285 
1635,187257 
1636,153891 
1637,192500 
1638,186747 
1639,184754 
1640,239173 
1641,172898 
1642,242317 
1643,215606 
1644,230383 
1645,219451 
1646,173571 
1647,145508 
1648,126841 
1649,145401 
1650,110817 
1651,122595 
1652,111366 
1653,114853 
1654,145849 
1655,137739 
1656,147110 
1657,157226 
1658,162893 
1659,105928 
1660,168037 
1661,453280 
1662,347912 
1663,368296 
1664,407132 
